CCN	TopQuartile	HAC
110043	N	5.35
110044	N	4
110045	N	1.7
110046	N	5.75
110050	N	5
110051	Y	9
110054	N	3.6
110064	N	5.55
110069	N	2.65
110071	N	2.05
110073	N	2.4
110074	Y	8.35
110075	N	4.05
110076	N	4.275
110078	Y	8.7
110079	Y	9.35
110082	Y	7.075
110083	Y	10
110086	N	2.05
110087	N	6.55
110089	N	4
110091	N	4.275
110092	N	1.7
110095	Y	7.35
110100	N	6
110101	N	6
110104	Y	9.025
110105	N	5.675
110107	N	5.975
110109	N	6
110111	N	2
110113	N	6
110115	Y	7.05
110121	N	3
110122	N	6
110124	N	1.7
110125	N	5.225
110128	Y	7.65
110129	N	1.975
110130	Y	9
110132	N	3.3
110135	N	6.7
110142	N	5
110143	Y	9.325
110146	Y	7.25
110150	N	4.3
110153	N	5
110161	N	6.425
110164	Y	7.05
110165	Y	7.7
110168	N	6.2
110177	Y	7.075
110183	Y	7.2
110184	N	6.05
110186	Y	9
110187	N	2
110189	N	7
110190	N	6
110191	Y	7.925
110192	N	4.975
110194	N	4
110198	N	4
110200	N	3
110201	Y	8.3
110203	N	6
110205	N	3
110209	N	5
110215	N	6
110225	N	3.675
110226	Y	8.05
110229	N	6.975
110230	N	5.575
110233	N	6
110234	N/A	0
120001	N	3.65
120002	N	6.4
120004	N	5.6
120005	N	1.675
120006	N	4.45
120007	N	6.425
120011	N	3.375
120014	N	4.275
120019	N	6.95
120022	N	3.275
120026	N	5.3
120028	N	4.95
130002	N	3.3
130003	N	5.725
130006	N	6.05
130007	Y	7.725
130013	N	4.1
130014	N	3.45
130018	N	4.275
130025	Y	9
130028	Y	9
130049	N	5.325
130063	N	5
130065	N	3
130066	N	3
130067	N	7
140001	N	1
140002	N	4.325
140007	N	5.55
140008	N	6.25
140010	Y	7.725
140011	N	3.3
140012	N	2.4
140013	N	6.025
140015	N	5.45
140018	N	6.35
140019	N	6
140026	N	1.65
140029	N	6.1
140030	N	3.6
